"FullAddress", "Speed"
"120.52.73.104:8088","99"
"120.52.73.104:8089","97"
"120.52.73.104:8090","98"
"120.52.73.104:8091","103"
"120.52.73.104:8092","111"
"120.52.73.104:8093","107"
"120.52.73.104:8094","99"
"120.52.73.104:8100","104"
"120.52.73.104:90","105"
"120.52.73.105:100","115"
"120.52.73.105:80","111"
"120.52.73.105:8080","111"
"120.52.73.105:8081","114"
"120.52.73.105:8082","115"
"120.52.73.105:8083","116"
"120.52.73.105:8086","114"
"120.52.73.105:8087","112"
"120.52.73.105:8088","112"
"120.52.73.105:8090","116"
"120.52.73.105:8091","115"
"120.52.73.105:8092","112"
"120.52.73.105:8093","115"
"120.52.73.105:8094","112"
"120.52.73.105:8100","114"
"120.52.73.105:90","114"
"120.52.73.106:100","118"
"120.52.73.106:80","108"
"120.52.73.106:8080","107"
"120.52.73.106:8081","125"
"120.52.73.106:8082","119"
"120.52.73.106:8083","116"
"120.52.73.106:8086","113"
"120.52.73.106:8087","111"
"120.52.73.106:8088","109"
"120.52.73.106:8089","115"
"120.52.73.106:8090","115"
"120.52.73.106:8091","111"
"120.52.73.106:8092","114"
"120.52.73.106:8093","116"
"120.52.73.106:8094","115"
"120.52.73.106:8100","117"
"120.52.73.106:90","116"
"120.52.73.107:100","118"
"120.52.73.107:80","120"
"120.52.73.107:8080","104"
"120.52.73.107:8081","106"
"120.52.73.107:8082","111"
"120.52.73.107:8083","112"
"120.52.73.107:8086","102"
"120.52.73.107:8087","114"
"120.52.73.107:8088","114"
"120.52.73.107:8089","111"
"120.52.73.107:8090","108"
"120.52.73.107:8092","114"
"120.52.73.107:8093","118"
"120.52.73.107:8094","117"
"120.52.73.107:8100","103"
"120.52.73.107:90","115"
"120.52.73.108:100","106"
"120.52.73.108:80","104"
"120.52.73.108:8080","105"
"120.52.73.108:8081","101"
"120.52.73.108:8082","104"
"120.52.73.108:8083","104"
"120.52.73.108:8086","104"
"120.52.73.108:8087","102"
"120.52.73.108:8088","101"
"120.52.73.108:8089","106"
"120.52.73.108:8090","100"
"120.52.73.108:8091","99"
"120.52.73.108:8092","104"
"120.52.73.108:8093","103"
"120.52.73.108:8094","103"
"120.52.73.108:8100","105"
"120.52.73.108:90","101"
"120.52.73.109:100","113"
"120.52.73.109:80","115"
"120.52.73.109:8080","113"
"120.52.73.109:8081","113"
"120.52.73.109:8082","116"
"120.52.73.109:8083","116"
"120.52.73.109:8086","115"
"120.52.73.109:8087","115"
"120.52.73.109:8088","122"
"120.52.73.109:8089","113"
"120.52.73.109:8090","113"
"120.52.73.109:8091","122"
"120.52.73.109:8092","113"
"120.52.73.109:8093","115"
"120.52.73.109:8094","117"
"120.52.73.109:8100","113"
"120.52.73.109:90","118"
"120.52.73.110:100","111"
"120.52.73.110:80","115"
"120.52.73.110:8080","114"
"120.52.73.110:8081","116"
"120.52.73.110:8082","119"
"120.52.73.110:8083","116"
"120.52.73.110:8086","126"
"120.52.73.110:8087","111"
"120.52.73.110:8088","118"
"120.52.73.110:8089","109"
"120.52.73.110:8090","114"
"120.52.73.110:8091","114"
"120.52.73.110:8092","118"
"120.52.73.110:8093","117"
"120.52.73.110:8094","113"
"120.52.73.110:8100","111"
"120.52.73.110:90","111"
"120.52.73.111:100","105"
"120.52.73.111:80","107"
"120.52.73.111:8080","114"
"120.52.73.111:8081","107"
"120.52.73.111:8082","111"
"120.52.73.111:8083","108"
"120.52.73.111:8086","119"
"120.52.73.111:8087","112"
"120.52.73.111:8088","105"
"120.52.73.111:8089","106"
"120.52.73.111:8090","103"
"120.52.73.111:8091","107"
"120.52.73.111:8092","117"
"120.52.73.111:8093","104"
"120.52.73.111:8094","114"
"120.52.73.111:8100","113"
"120.52.73.111:90","110"
"120.52.73.112:8082","103"
"120.52.73.112:8087","114"
"120.52.73.113:100","111"
"120.52.73.113:80","110"
"120.52.73.113:8080","125"
"120.52.73.113:8081","116"
"120.52.73.113:8082","121"
"120.52.73.113:8086","115"
"120.52.73.113:8088","113"
"120.52.73.113:8089","114"
"120.52.73.113:8091","110"
"120.52.73.113:8092","109"
"120.52.73.113:8093","115"
"120.52.73.113:8094","114"
"120.52.73.113:8100","113"
"120.52.73.113:90","115"
"120.52.73.114:100","114"
"120.52.73.114:80","112"
"120.52.73.114:8080","111"
"120.52.73.114:8081","103"
"120.52.73.114:8082","108"
"120.52.73.114:8083","112"
"120.52.73.114:8086","104"
"120.52.73.114:8087","103"
"120.52.73.114:8088","104"
"120.52.73.114:8089","116"
"120.52.73.114:8090","132"
"120.52.73.114:8091","112"
"120.52.73.114:8092","116"
"120.52.73.114:8093","127"
"120.52.73.114:8094","118"
"120.52.73.114:8100","112"
"120.52.73.114:90","115"
"120.52.73.115:100","102"
"120.52.73.115:80","103"
"120.52.73.115:8080","107"
"120.52.73.115:8081","109"
"120.52.73.115:8082","104"
"120.52.73.115:8083","110"
"120.52.73.115:8086","103"
"120.52.73.115:8087","108"
"120.52.73.115:8088","108"
"120.52.73.115:8089","103"
"120.52.73.115:8090","109"
"120.52.73.115:8091","106"
"120.52.73.115:8092","108"
"120.52.73.115:8093","102"
"120.52.73.115:8094","114"
"120.52.73.115:8100","105"
"120.52.73.115:90","107"
"120.52.73.116:100","117"
"120.52.73.116:80","113"
"120.52.73.116:8080","103"
"120.52.73.116:8081","106"
"120.52.73.116:8082","108"
"120.52.73.116:8086","112"
"120.52.73.116:8087","116"
"120.52.73.116:8088","103"
"120.52.73.116:8089","114"
"120.52.73.116:8090","115"
"120.52.73.116:8091","115"
"120.52.73.116:8092","105"
"120.52.73.116:8094","110"
"120.52.73.116:8100","112"
"120.52.73.116:90","103"
"120.52.73.117:100","113"
"120.52.73.117:80","113"
"120.52.73.117:8080","114"
"120.52.73.117:8081","116"
"120.52.73.117:8082","119"
"120.52.73.117:8083","113"
"120.52.73.117:8086","113"
"120.52.73.117:8087","136"
"120.52.73.117:8088","117"
"120.52.73.117:8089","114"
"120.52.73.117:8090","122"
"120.52.73.117:8091","114"
"120.52.73.117:8092","119"
"120.52.73.117:8093","116"
"120.52.73.117:8094","114"
"120.52.73.117:8100","116"
"120.52.73.117:90","112"
"120.52.73.118:100","116"
"120.52.73.118:80","117"
"120.52.73.118:8080","109"
"120.52.73.118:8081","116"
"120.52.73.118:8082","110"
"120.52.73.118:8083","107"
"120.52.73.118:8086","115"
"120.52.73.118:8087","118"
"120.52.73.118:8088","115"
"120.52.73.118:8091","108"
"120.52.73.118:8092","114"
"120.52.73.118:8093","110"
"120.52.73.118:8100","109"
"120.52.73.118:90","110"
"120.52.73.119:100","103"
"120.52.73.119:80","104"
"120.52.73.119:8080","101"
"120.52.73.119:8081","106"
"120.52.73.119:8082","106"
"120.52.73.119:8083","107"
"120.52.73.119:8086","104"
"120.52.73.119:8087","101"
"120.52.73.119:8088","103"
"120.52.73.119:8089","102"
"120.52.73.119:8090","100"
"120.52.73.119:8091","101"
"120.52.73.119:8092","106"
"120.52.73.119:8094","107"
"120.52.73.119:8100","377"
"120.52.73.119:90","9255"
"120.52.73.120:80","304"
"120.52.73.120:8090","303"
"120.52.73.120:8091","307"
"120.52.73.120:8092","3300"
"120.52.73.120:90","306"
"120.52.73.121:100","279"
"120.52.73.121:80","116"
"120.52.73.121:8080","116"
"120.52.73.121:8081","108"
"120.52.73.121:8082","108"
"120.52.73.121:8083","115"
"120.52.73.121:8086","107"
"120.52.73.121:8087","117"
"120.52.73.121:8088","116"
"120.52.73.121:8089","127"
"120.52.73.121:8090","115"
"120.52.73.121:8091","110"
"120.52.73.121:8092","106"
"120.52.73.121:8093","108"
"120.52.73.121:8094","116"
"120.52.73.121:8100","122"
"120.52.73.121:90","108"
"120.52.73.122:8081","127"
"120.52.73.122:8092","117"
"120.52.73.123:100","106"
"120.52.73.123:80","110"
"120.52.73.123:8080","114"
"120.52.73.123:8082","100"
"120.52.73.123:8083","101"
"120.52.73.123:8086","103"
"120.52.73.123:8087","104"
"120.52.73.123:8088","111"
"120.52.73.123:8089","100"
"120.52.73.123:8090","108"
"120.52.73.123:8091","103"
"120.52.73.123:8092","100"
"120.52.73.123:8093","105"
"120.52.73.123:8094","110"
"120.52.73.123:8100","112"
"120.52.73.123:90","108"
"120.52.73.124:100","104"
"120.52.73.124:80","100"
"120.52.73.124:8081","105"
"120.52.73.124:8082","103"
"120.52.73.124:8083","102"
"120.52.73.124:8086","101"
"120.52.73.124:8087","106"
"120.52.73.124:8089","99"
"120.52.73.124:8090","99"
"120.52.73.124:8091","106"
"120.52.73.124:8092","102"
"120.52.73.124:8093","100"
"120.52.73.124:8094","103"
"120.52.73.124:8100","100"
"120.52.73.124:90","106"
"120.52.73.125:80","105"
"120.52.73.125:8080","114"
"120.52.73.125:8081","112"
"120.52.73.125:8082","114"
"120.52.73.125:8086","126"
"120.52.73.125:8087","113"
"120.52.73.125:8088","115"
"120.52.73.125:8089","106"
"120.52.73.125:8091","107"
"120.52.73.125:8093","107"
"120.52.73.125:8094","114"
"120.52.73.125:90","109"
"120.52.73.126:100","109"
"120.52.73.126:80","115"
"120.52.73.126:8080","110"
"120.52.73.126:8081","114"
"120.52.73.126:8082","112"
"120.52.73.126:8083","108"
"120.52.73.126:8087","109"
"120.52.73.126:8088","109"
"120.52.73.126:8090","109"
"120.52.73.126:8091","112"
"120.52.73.126:8092","110"
"120.52.73.126:8093","113"
"120.52.73.126:8094","112"
"120.52.73.126:8100","111"
"120.52.73.126:90","110"
"120.52.73.127:100","100"
"120.52.73.127:80","106"
"120.52.73.127:8080","101"
